Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
52	-200.0	0.0	-200.0	-200.0	200.0	-62.489532	0.002869759	-62.47117	-62.494694	212000	0.0022525783	595.71594	0.0	-0.0001373291	1.0757539	-1.1026859e-09	47.466381549835205
53	-200.0	0.0	-200.0	-200.0	200.0	-62.48979	0.002520643	-62.47527	-62.494316	216000	0.0017140787	595.7034	0.0	-6.1035156e-05	1.0748007	-1.0281801e-09	48.27739691734314
54	-200.0	0.0	-200.0	-200.0	200.0	-62.489296	0.0029624638	-62.47198	-62.49532	220000	-0.0026370203	595.70087	0.0	-7.6293945e-05	1.0741315	1.0430813e-09	49.08257603645325
55	-200.0	0.0	-200.0	-200.0	200.0	-62.48961	0.0018952873	-62.4807	-62.49361	224000	0.009412355	595.709	0.0	-0.0002746582	1.0731757	4.917383e-10	50.02280330657959
56	-200.0	0.0	-200.0	-200.0	200.0	-62.48942	0.0024728833	-62.476284	-62.494396	228000	0.0047235275	595.7063	0.0	-3.0517578e-05	1.0732763	1.4901158e-10	50.81851625442505
57	-200.0	0.0	-200.0	-200.0	200.0	-62.489326	0.00283704	-62.476337	-62.494892	232000	-0.00566376	595.71765	0.0	-3.0517578e-05	1.0738119	-7.897615e-10	51.7376024723053
58	-200.0	0.0	-200.0	-200.0	200.0	-62.48969	0.0030284834	-62.47265	-62.49536	236000	-0.0050464673	595.7135	0.0	-0.00062561035	1.0737695	-1.0579824e-09	52.57606530189514
59	-200.0	0.0	-200.0	-200.0	200.0	-62.489735	0.0025851217	-62.47647	-62.495193	240000	0.0022315122	595.71985	0.0	-0.0004272461	1.0732572	-2.235174e-10	53.413952350616455
60	-200.0	0.0	-200.0	-200.0	200.0	-62.48978	0.002592797	-62.477222	-62.494736	244000	0.005320063	595.6916	0.0	-0.00021362305	1.0730422	-1.4454127e-09	54.27611541748047
61	-200.0	0.0	-200.0	-200.0	200.0	-62.489323	0.0023982325	-62.47887	-62.493935	248000	0.0018891778	595.7049	0.0	-0.00030517578	1.0733128	6.7055217e-10	55.078471422195435
62	-200.0	0.0	-200.0	-200.0	200.0	-62.489326	0.003232057	-62.46676	-62.4955	252000	0.000709233	595.6864	0.0	-0.0017700195	1.0737199	-3.7252904e-10	55.986592292785645
63	-200.0	0.0	-200.0	-200.0	200.0	-62.48937	0.002827494	-62.47377	-62.49458	256000	-0.0026783133	595.69885	0.0	-0.00033569336	1.0740727	2.0116566e-09	56.79471206665039
