Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
101	105.22222	58.93976	251.0	18.0	105.22222	46.802204	17.88406	67.744705	0.62857604	408000	-0.07438639	305.61884	0.0	-35.28193	0.5980861	-6.1094757e-10	71.66203212738037
102	144.1923	69.18038	288.0	41.0	144.1923	46.099907	15.409612	63.024715	3.7974515	412000	-0.052320577	414.50076	0.0	-126.83976	0.6061441	-1.4156105e-10	72.39463067054749
103	119.71875	60.881664	294.0	24.0	119.71875	54.783092	18.084824	72.98716	6.9433823	416000	-0.049714666	396.9995	0.0	-86.167816	0.5996621	1.1622905e-09	73.11544108390808
104	147.76	102.80517	446.0	20.0	147.76	46.644405	15.812638	68.05978	0.7991039	420000	-0.056377202	510.6967	0.0	-150.032	0.603897	-3.9488077e-10	73.76040887832642
105	127.37931	87.590904	352.0	22.0	127.37931	55.06395	18.087566	73.92278	2.6802566	424000	-0.05248167	511.96948	0.0	-145.52441	0.5957192	2.6077035e-10	74.48176550865173
106	115.86667	57.816223	259.0	35.0	115.86667	51.24239	17.452526	72.20041	3.7590384	428000	-0.055948973	349.92487	0.0	-43.844135	0.59610546	4.768371e-10	75.17555212974548
107	175.28572	94.2702	473.0	63.0	175.28572	48.0051	17.2105	69.861664	-1.174294	432000	-0.06115905	412.00967	0.0	-153.54988	0.6011205	6.631017e-10	75.88400459289551
108	150.08	49.090057	261.0	65.0	150.08	56.024914	19.924171	75.6533	4.858228	436000	-0.048472818	289.66888	0.0	-112.60572	0.59839624	-5.215407e-10	76.5532739162445
109	117.48387	69.22002	332.0	21.0	117.48387	47.74987	20.409523	74.09302	1.2245507	440000	-0.054129377	347.92438	0.0	-77.54183	0.5950736	4.470349e-11	77.25171542167664
110	143.0	49.728058	256.0	46.0	143.0	49.620705	17.531807	71.29392	0.69345677	444000	-0.0697349	249.26364	0.0	-70.57793	0.5936599	-5.8859584e-10	77.95556426048279
111	159.52174	79.87265	287.0	37.0	159.52174	52.92926	19.31096	75.233215	2.8624954	448000	-0.04692132	272.54492	0.0	-58.678596	0.59777033	1.1250376e-09	78.62090921401978
112	154.04167	69.83462	297.0	47.0	154.04167	55.734665	20.117397	78.72682	1.4358326	452000	-0.050284915	484.6178	0.0	-226.97285	0.5946703	-1.0281801e-09	79.325279712677
113	191.1579	84.58895	356.0	48.0	191.1579	50.09957	18.905373	74.709915	3.0592418	456000	-0.050150793	461.755	0.0	-206.10796	0.59559935	1.1026859e-09	80.0202796459198
114	137.32	65.40075	329.0	55.0	137.32	59.828228	20.116446	79.64385	5.2819743	460000	-0.044649173	406.2133	0.0	-125.97583	0.58903736	1.9371513e-10	80.6912145614624
115	173.90909	95.41579	500.0	48.0	173.90909	52.008236	19.479252	73.57443	-1.6919384	464000	-0.05193601	357.53174	0.0	-128.41296	0.591256	-1.1101365e-09	81.40061068534851
116	184.77777	51.835804	314.0	125.0	184.77777	57.71046	20.192339	77.89943	8.111088	468000	-0.03720054	181.89706	0.0	-39.873096	0.59695053	6.6310163e-10	82.10709762573242
117	202.35294	113.205666	500.0	26.0	202.35294	63.642944	20.182472	81.16391	7.746093	472000	-0.04211459	190.82297	0.0	-36.216904	0.59191036	-5.8859584e-10	82.75415539741516
