Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
102	-33.81587	1.2389002	-32.47382	-35.237053	999.0	-3.1586866	0.04183518	-3.032414	-3.2425761	412000	-0.09128845	0.60144776	0.0	-0.013769522	0.88938713	-1.3038516e-09	71.33807182312012
103	-33.872036	1.0550702	-32.346607	-34.98721	999.0	-3.0493827	0.07015085	-2.6190712	-3.115373	416000	-0.10573621	0.5988061	0.0	-0.028433353	0.88909864	-3.9488077e-10	71.9741747379303
104	-34.134552	0.5823622	-33.396442	-34.92534	999.0	-3.0707138	0.113710545	-2.5140023	-3.1860595	420000	-0.08507937	0.5366067	0.0	-0.0080601275	0.8888033	2.9057268e-10	72.6882004737854
105	-33.834915	1.4090528	-32.17501	-35.82421	999.0	-3.0873196	0.04758067	-2.78144	-3.1212108	424000	-0.08376644	0.5410904	0.0	-0.081244916	0.8885082	-1.7806887e-09	73.33540773391724
106	-36.25531	0.9399558	-34.870335	-37.456482	999.0	-2.9223878	0.4169742	-1.2995458	-3.2595367	428000	-0.08033858	0.6952423	0.0	-0.14588398	0.8882144	2.5331972e-09	74.02047944068909
107	-33.82779	0.9318712	-32.756256	-35.089268	999.0	-3.23788	0.27602723	-1.9901824	-3.503793	432000	-0.051975064	0.5763833	0.0	-0.091854	0.88792187	-1.862645e-10	74.72680020332336
108	-33.868782	0.36323556	-33.25988	-34.208023	999.0	-3.0515428	0.05285346	-2.7102106	-3.0840762	436000	-0.08580245	0.54896414	0.0	-0.009643801	0.8876397	2.9802355e-11	75.3403012752533
109	-33.660473	1.7738637	-30.93257	-35.6484	999.0	-3.0316322	0.17089665	-2.4483786	-3.1617568	440000	-0.08970834	0.54388976	0.0	-0.011993043	0.88735557	-1.9371507e-10	76.05015826225281
110	-33.785362	0.29355538	-33.36567	-34.134064	999.0	-3.085023	0.03530284	-2.9008904	-3.1413345	444000	-0.078409106	0.53679	0.0	-0.0020420775	0.8870699	-1.2144445e-09	76.771324634552
111	-34.085026	1.1426345	-32.64315	-35.41721	999.0	-3.0653038	0.01940238	-2.958315	-3.1106582	448000	-0.07562445	0.50174284	0.0	-0.025667466	0.88678527	-5.066395e-10	77.39943766593933
112	-34.867317	1.2153478	-33.133842	-36.216953	999.0	-2.9988694	0.21537192	-2.0330968	-3.1923356	452000	-0.08493863	0.57296205	0.0	-0.034255736	0.88650244	-3.3527625e-10	78.10077166557312
113	-34.5198	0.80528516	-33.178978	-35.32215	999.0	-3.1388335	0.10338043	-2.438719	-3.2131681	456000	-0.09002252	0.6928028	0.0	-0.002177462	0.88621885	-7.45058e-10	78.80617928504944
114	-35.95157	1.4176008	-34.628967	-38.234615	999.0	-3.1127284	0.13400173	-2.3250554	-3.1904972	460000	-0.08959269	0.590595	0.0	-0.026158765	0.8859325	-9.834766e-10	79.43362927436829
115	-33.922684	1.3282803	-32.050434	-35.609604	999.0	-3.144021	0.283947	-1.6243151	-3.409721	464000	-0.07139468	0.48253286	0.0	-0.012225375	0.8856434	-1.7657876e-09	80.10705709457397
116	-35.2574	2.6418588	-32.702507	-39.629982	999.0	-3.1547785	0.11910347	-2.6872516	-3.289328	468000	-0.10112973	0.64707017	0.0	-0.02467125	0.8853589	2.5480986e-09	80.79701089859009
117	-33.805687	1.7051904	-30.91014	-35.116077	999.0	-3.1162496	0.37654492	-1.7507368	-3.3905554	472000	-0.06894673	0.58605325	0.0	-0.07337665	0.88506836	-6.705522e-10	81.41973066329956
118	-34.825356	1.5421699	-32.42845	-36.647243	999.0	-3.1093643	0.04588053	-2.5808072	-3.1493716	476000	-0.098635815	0.57908607	0.0	-0.0672567	0.8847822	-2.7567146e-10	82.10664129257202
119	-33.897465	2.5521116	-31.673592	-38.23304	999.0	-3.0264196	0.40241724	-1.3779811	-3.375152	480000	-0.0718242	0.6827734	0.0	-0.05445472	0.88449067	3.278255e-10	82.80687284469604
120	-33.93256	1.2023447	-32.22479	-35.406643	999.0	-2.994355	0.25923386	-1.9382757	-3.202635	484000	-0.08623086	0.49068174	0.0	-0.018428192	0.88420355	-1.7881396e-10	83.44288182258606
121	-34.77003	1.3312933	-32.609962	-36.098694	999.0	-3.1494167	0.17907868	-1.8786297	-3.2630167	488000	-0.09403073	0.60616404	0.0	-0.0032398328	0.883915	1.9818545e-09	84.15332388877869
122	-35.07959	0.52032346	-34.45586	-35.769707	999.0	-3.1525176	0.0787964	-2.614743	-3.237344	492000	-0.07900665	0.52321374	0.0	-0.021258011	0.88362306	1.2218953e-09	84.83612847328186
123	-33.06582	0.98938394	-32.21476	-34.751675	999.0	-3.245456	0.1570122	-2.053625	-3.358879	496000	-0.093573645	0.5348498	0.0	-0.059071004	0.88333344	-1.4901164e-10	85.48265218734741
124	-32.96456	1.5632998	-30.953257	-35.207504	999.0	-2.6667597	0.5765807	-0.59359515	-3.1722329	500000	-0.038198277	0.7347612	0.0	-0.3159083	0.88303965	2.2426248e-09	86.16767477989197
125	-33.428032	0.99349105	-32.13947	-34.49899	999.0	-3.0067432	0.04023652	-2.6949964	-3.033393	504000	-0.090907305	0.56648606	0.0	-0.031728797	0.88276136	1.0877848e-09	86.82218623161316
126	-33.01702	0.64069694	-32.13984	-33.93291	999.0	-3.0334706	0.18905129	-2.1191726	-3.171096	508000	-0.08971348	0.5248159	0.0	-0.008710146	0.8824804	5.587937e-10	87.44819283485413
